Tarih,Şimdi,Açılış,Yüksek,Düşük,Fark %
10.12.2024,34.8285,34.8286,34.9938,34.614,0.06
09.12.2024,34.8059,34.7402,34.9165,34.6657,0.2
06.12.2024,34.7376,34.7122,34.8896,34.6026,0.17
05.12.2024,34.6778,34.741,34.8714,34.5986,0.17
04.12.2024,34.62,34.7359,34.87,34.6106,-0.25
03.12.2024,34.7071,34.7201,34.8037,34.6375,0.02
02.12.2024,34.7014,34.6902,34.8341,34.5829,0.03
29.11.2024,34.6913,34.6245,34.8088,34.4812,0.22
28.11.2024,34.6145,34.6201,34.6741,34.41,-0.02
27.11.2024,34.6206,34.608,34.7577,34.4289,0.03
26.11.2024,34.6085,34.405,34.6512,34.381,0.18
25.11.2024,34.5452,34.5141,34.6192,34.0269,0.01
22.11.2024,34.5434,34.4862,34.6017,34.2203,0.25
21.11.2024,34.4565,34.4538,34.5615,34.242,0.04
20.11.2024,34.4415,34.4718,34.555,34.244,0.41
19.11.2024,34.3,34.5252,34.6557,34.271,-0.63
18.11.2024,34.5181,34.4272,34.6296,34.1612,0.29
15.11.2024,34.4185,34.22,34.6893,34.108,0.29
14.11.2024,34.3182,34.3318,34.3794,34.1369,-0.09
13.11.2024,34.3501,34.3447,34.3842,34.0306,0.01
12.11.2024,34.3465,34.3063,34.4096,34.0754,0.09
11.11.2024,34.3169,34.348,34.3845,34.151,0.82
08.11.2024,34.0367,34.101,34.3895,34.0367,-0.53
07.11.2024,34.2177,34.2024,34.2686,34.001,0.09
06.11.2024,34.1862,34.2812,34.3857,33.999,-0.37
05.11.2024,34.3118,34.334,34.3573,34.069,-0.06
04.11.2024,34.3337,34.32,34.358,34.1342,0.09
01.11.2024,34.302,34.2359,34.4168,34.0158,0.14
31.10.2024,34.254,34.16,34.293,34.0555,0.15
30.10.2024,34.2044,34.2541,34.299,33.907,-0.15
29.10.2024,34.2554,34.2968,34.2971,34.091,-0.08
28.10.2024,34.2822,34.2823,34.325,34.0233,0.0
25.10.2024,34.2827,34.11,34.3556,34.0106,0.19
24.10.2024,34.2181,34.2482,34.294,34.039,-0.1
23.10.2024,34.2527,34.2285,34.3011,33.984,0.05
22.10.2024,34.2357,34.092,34.267,34.06,0.42
21.10.2024,34.092,34.2324,34.2841,33.843,0.31
18.10.2024,33.985,34.1108,34.3054,33.8949,-0.41
17.10.2024,34.1245,34.1557,34.234,33.949,-0.1
16.10.2024,34.1594,34.1691,34.255,33.7095,-0.03
15.10.2024,34.1692,34.267,34.2988,33.9334,-0.26
14.10.2024,34.2569,34.2845,34.3141,34.067,0.04
11.10.2024,34.2442,34.1836,34.3546,33.999,0.27
10.10.2024,34.1519,34.208,34.281,33.9937,-0.17
09.10.2024,34.2087,34.241,34.2761,34.04,-0.09
08.10.2024,34.2407,34.2351,34.2964,33.998,0.02
07.10.2024,34.235,34.2479,34.2841,34.046,-0.04
04.10.2024,34.25,34.0997,34.3331,33.9,0.42
03.10.2024,34.1055,34.1811,34.258,33.9,-0.22
02.10.2024,34.1819,34.2037,34.235,33.852,-0.07
01.10.2024,34.2057,34.1587,34.2302,33.9799,0.13
30.09.2024,34.1605,34.1596,34.2039,33.8491,0.0
27.09.2024,34.1615,34.03,34.2031,33.885,0.06
26.09.2024,34.1398,34.1045,34.1733,33.821,0.1
25.09.2024,34.1064,34.1137,34.179,33.92,-0.02
24.09.2024,34.1137,34.1175,34.1701,33.8666,-0.02
23.09.2024,34.1189,34.098,34.163,33.7953,0.08
20.09.2024,34.0926,33.999,34.1464,33.8773,0.2
19.09.2024,34.0253,34.0674,34.1196,33.793,-0.13
18.09.2024,34.0687,34.0792,34.1151,33.8702,-0.03
17.09.2024,34.0795,33.9754,34.1102,33.7869,0.3
16.09.2024,33.9779,33.9184,34.0543,33.5822,0.3
13.09.2024,33.8762,33.8787,33.995,33.65,-0.1
12.09.2024,33.9086,33.9815,34.0135,33.74,-0.17
11.09.2024,33.9678,34.0019,34.067,33.765,-0.13
10.09.2024,34.0122,34.036,34.1052,33.8478,-0.07
09.09.2024,34.0361,33.9895,34.0799,33.7204,0.25
06.09.2024,33.9505,33.9139,34.062,33.708,0.09
05.09.2024,33.9195,33.9844,34.0637,33.75,-0.19
04.09.2024,33.9857,33.9983,34.088,33.77,0.04
03.09.2024,33.9735,33.88,34.047,33.657,0.28
02.09.2024,33.8799,34.0402,34.0892,33.615,-0.56
30.08.2024,34.0711,34.069,34.0893,33.954,0.0
29.08.2024,34.0694,34.0334,34.2688,33.759,0.11
28.08.2024,34.0312,34.0006,34.4059,33.815,0.09
27.08.2024,34.0006,33.999,34.0414,33.8,0.09
26.08.2024,33.9691,33.9522,34.0571,33.704,0.03
23.08.2024,33.9588,33.9045,34.0058,33.703,0.74
22.08.2024,33.71,33.8717,33.9546,33.686,-0.36
21.08.2024,33.8313,33.8808,33.978,33.695,-0.08
20.08.2024,33.8575,33.59,33.9542,33.552,0.86
19.08.2024,33.569,33.6316,33.7625,33.47,-0.28
16.08.2024,33.6632,33.6041,33.838,33.451,0.18
15.08.2024,33.6042,33.5824,33.6678,33.386,0.01
14.08.2024,33.5992,33.5288,33.6451,33.345,0.21
13.08.2024,33.5301,33.29,33.592,33.255,0.48
12.08.2024,33.37,33.5063,33.591,33.31,-0.34
09.08.2024,33.4839,33.5065,33.594,33.277,-0.04
08.08.2024,33.4959,33.4321,33.557,33.28,0.2
07.08.2024,33.4293,33.599,33.6961,33.29,-0.42
06.08.2024,33.5696,33.3484,33.7698,33.06,0.73
05.08.2024,33.3248,33.1825,33.4278,33.065,0.47
02.08.2024,33.168,33.1087,33.3297,32.931,0.25
01.08.2024,33.0853,33.1474,33.1983,32.91,-0.17
31.07.2024,33.1401,33.0806,33.2573,32.947,0.18
30.07.2024,33.0794,33.079,33.1198,32.8662,0.1
29.07.2024,33.0458,32.7848,33.1646,32.6974,0.43
26.07.2024,32.9042,32.948,33.149,32.697,-0.13
25.07.2024,32.948,32.7793,33.1251,32.684,0.51
24.07.2024,32.7792,32.8481,32.883,32.6583,-0.22
23.07.2024,32.8527,32.8813,32.9949,32.5714,-0.17
22.07.2024,32.9085,32.7525,33.0975,32.648,-0.44
19.07.2024,33.0549,33.0485,33.155,32.7981,0.02
18.07.2024,33.0488,33.0502,33.1304,32.9,0.0
17.07.2024,33.0502,33.0349,33.1682,32.8786,-0.01
16.07.2024,33.0531,32.9921,33.0985,32.84,0.26
15.07.2024,32.9686,33.0038,33.1354,32.9001,-0.16
12.07.2024,33.0214,32.7991,33.0742,32.69,0.67
11.07.2024,32.8013,32.7864,32.9603,32.657,-0.17
10.07.2024,32.8564,32.8429,33.0237,32.665,0.12
09.07.2024,32.817,32.6574,32.9326,32.545,0.44
08.07.2024,32.6745,32.6,32.768,32.43,0.12
05.07.2024,32.635,32.5573,32.7769,32.416,0.38
04.07.2024,32.513,32.4764,32.5881,32.325,-0.07
