Tarih,Şimdi,Açılış,Yüksek,Düşük,Fark %
10.12.2024,36.6605,36.7564,36.9536,36.4821,-0.18
09.12.2024,36.7272,36.7187,36.9414,36.5558,0.04
06.12.2024,36.7107,36.7498,37.0322,36.5384,0.0
05.12.2024,36.7099,36.5152,36.8597,36.3918,0.89
04.12.2024,36.3856,36.5057,36.6986,36.3009,-0.24
03.12.2024,36.4737,36.4474,36.6473,36.3346,0.13
02.12.2024,36.4261,36.6983,36.7877,36.246,-0.71
29.11.2024,36.686,36.5462,36.8397,36.398,0.43
28.11.2024,36.5287,36.6036,36.7427,36.3448,-0.12
27.11.2024,36.5743,36.3299,36.7449,36.1824,0.77
26.11.2024,36.2939,36.2772,36.5785,36.058,0.12
25.11.2024,36.2517,35.962,36.5474,35.8103,0.74
22.11.2024,35.9868,36.1256,36.367,35.6145,-0.28
21.11.2024,36.0863,36.338,36.4944,35.9774,-0.62
20.11.2024,36.3117,36.5298,36.6765,36.1314,-0.07
19.11.2024,36.3374,36.5928,36.9262,36.3367,-0.66
18.11.2024,36.5788,36.2967,36.8012,36.1171,0.82
15.11.2024,36.2805,36.1591,36.7455,36.0379,0.4
14.11.2024,36.1371,36.2927,36.4268,35.9905,-0.4
13.11.2024,36.284,36.4885,36.6693,36.1602,-0.55
12.11.2024,36.4863,36.5891,36.7395,36.2891,-0.2
11.11.2024,36.5612,36.8247,37.0238,36.4275,0.22
08.11.2024,36.4805,36.9933,37.1835,36.6113,-1.32
07.11.2024,36.9688,36.7011,37.1387,36.5395,0.8
06.11.2024,36.675,37.5117,37.5975,36.4896,-2.21
05.11.2024,37.5028,37.3598,37.6119,37.2449,0.42
04.11.2024,37.3448,37.1894,37.5495,37.1597,0.5
01.11.2024,37.1594,37.2825,37.505,37.0728,-0.28
31.10.2024,37.2642,37.1791,37.382,37.062,0.36
30.10.2024,37.1289,37.0762,37.2882,36.8768,0.19
29.10.2024,37.0575,37.0944,37.1666,36.8335,-0.03
28.10.2024,37.067,37.0131,37.2238,36.8584,0.18
25.10.2024,37.0013,37.0838,37.2553,36.8634,-0.14
24.10.2024,37.0515,36.967,37.1511,36.8129,0.33
23.10.2024,36.9278,36.9929,37.1715,36.7898,-0.1
22.10.2024,36.9643,37.0014,37.1706,36.8716,-0.11
21.10.2024,37.0061,37.1348,37.4768,36.8982,0.21
18.10.2024,36.9281,36.9674,37.4566,36.8519,-0.09
17.10.2024,36.9602,37.118,37.2556,36.8046,-0.38
16.10.2024,37.1005,37.2607,37.4828,36.8923,-0.3
15.10.2024,37.2103,37.3858,37.6763,37.1351,-0.43
14.10.2024,37.3709,37.5059,37.6398,37.2415,-0.22
11.10.2024,37.4529,37.3837,37.7006,37.268,0.29
10.10.2024,37.3451,37.4514,37.5948,37.1911,-0.2
09.10.2024,37.4209,37.6219,37.7004,37.3489,-0.47
08.10.2024,37.5963,37.6053,37.7477,37.3647,0.07
07.10.2024,37.5695,37.595,37.7233,37.4297,-0.06
04.10.2024,37.5928,37.6274,37.9091,37.3922,-0.07
03.10.2024,37.6184,37.7942,37.8965,37.4939,-0.36
02.10.2024,37.7539,37.8654,37.9875,37.6003,-0.28
01.10.2024,37.8589,38.0648,38.2676,37.6844,-0.46
30.09.2024,38.0343,38.1456,38.4076,37.8926,-0.26
27.09.2024,38.1345,38.1706,38.3534,37.8779,-0.05
26.09.2024,38.1546,38.0057,38.2776,37.8502,0.49
25.09.2024,37.9672,38.15,38.311,37.9247,-0.45
24.09.2024,38.1391,37.9239,38.187,37.7719,0.6
23.09.2024,37.9129,38.0675,38.3154,37.7333,-0.37
20.09.2024,38.0542,37.9829,38.1681,37.8931,0.32
19.09.2024,37.933,37.8832,38.1215,37.6618,0.15
18.09.2024,37.8776,37.8761,38.1569,37.736,0.01
17.09.2024,37.8725,37.8479,38.0085,37.6911,0.13
16.09.2024,37.8242,37.5752,37.9916,37.3233,0.81
13.09.2024,37.5213,37.5542,37.7826,37.4095,-0.08
12.09.2024,37.5504,37.4266,37.5822,37.2758,0.4
11.09.2024,37.4019,37.5056,37.6947,37.2762,-0.2
10.09.2024,37.478,37.5865,37.7412,37.393,-0.21
09.09.2024,37.5554,37.6606,37.907,37.4548,-0.19
06.09.2024,37.6273,37.7202,37.9694,37.4784,-0.15
05.09.2024,37.6846,37.7024,37.8688,37.4833,0.06
04.09.2024,37.663,37.5516,37.7896,37.4691,0.39
03.09.2024,37.5169,37.5143,37.6832,37.3298,0.02
02.09.2024,37.5084,37.6438,37.7686,37.3461,-0.35
30.08.2024,37.6383,37.7458,37.8215,37.5736,-0.23
29.08.2024,37.7241,37.8728,38.1361,37.5172,-0.33
28.08.2024,37.8503,38.0475,38.4748,37.6832,-0.46
27.08.2024,38.0263,37.9398,38.1117,37.8308,0.3
26.08.2024,37.9129,38.0204,38.1445,37.7469,-0.23
23.08.2024,37.9999,37.6786,38.1003,37.5505,1.45
22.08.2024,37.4586,37.7705,37.9593,37.5224,-0.69
21.08.2024,37.7185,37.7166,37.9061,37.5642,0.08
20.08.2024,37.69,37.3487,37.794,37.2629,0.81
19.08.2024,37.3877,37.1401,37.4576,37.043,0.71
16.08.2024,37.1238,36.9106,37.3219,36.7956,0.7
15.08.2024,36.8672,37.005,37.1365,36.7056,-0.36
14.08.2024,36.9994,36.8704,37.1401,36.7333,0.4
13.08.2024,36.8529,36.6151,36.907,36.4981,1.03
12.08.2024,36.4767,36.6021,36.7813,36.4803,-0.2
09.08.2024,36.551,36.5979,36.7722,36.4297,-0.05
08.08.2024,36.5708,36.5592,36.7707,36.3391,0.17
07.08.2024,36.5081,36.7319,36.8021,36.4362,-0.5
06.08.2024,36.6916,36.5359,36.9075,36.2611,0.53
05.08.2024,36.4973,36.2449,36.8115,36.1673,0.86
02.08.2024,36.1863,35.7165,36.3845,35.6376,1.36
01.08.2024,35.7023,35.8813,35.9919,35.5921,-0.48
31.07.2024,35.8742,35.7873,36.0291,35.7122,0.28
30.07.2024,35.7754,35.7993,35.9267,35.6415,0.06
29.07.2024,35.7523,35.793,36.0168,35.5736,0.09
26.07.2024,35.7208,35.7408,36.0294,35.6188,-0.02
25.07.2024,35.7288,35.5812,35.9883,35.5056,0.57
24.07.2024,35.5261,35.6605,35.8013,35.4851,-0.36
23.07.2024,35.655,35.8461,36.0897,35.4549,-0.51
22.07.2024,35.8374,35.967,36.1874,35.6594,-0.34
19.07.2024,35.9604,36.0401,36.1879,35.787,-0.13
18.07.2024,36.0076,36.1836,36.2896,35.9647,-0.39
17.07.2024,36.147,36.0236,36.3331,35.924,0.36
16.07.2024,36.018,35.9574,36.1445,35.8433,0.28
15.07.2024,35.916,36.0043,36.1152,35.8779,-0.27
12.07.2024,36.0131,35.6804,36.1217,35.6043,1.02
11.07.2024,35.6485,35.5905,35.866,35.5129,0.18
10.07.2024,35.5835,35.5491,35.8018,35.4457,0.29
09.07.2024,35.4817,35.3854,35.7296,35.2838,0.34
08.07.2024,35.3603,35.3213,35.6207,35.1699,-0.01
05.07.2024,35.3633,35.2231,35.5943,35.1445,0.5
04.07.2024,35.1857,35.1156,35.2801,34.9866,0.28
03.07.2024,35.0881,34.9674,35.2771,34.8323,0.34
02.07.2024,34.9685,35.0844,35.1672,34.8174,-0.2
01.07.2024,35.0378,35.1107,35.3946,34.9399,0.18
28.06.2024,34.9763,35.1528,35.3763,34.8901,-0.37
27.06.2024,35.1069,35.0797,35.325,34.9987,0.11
26.06.2024,35.0676,35.3091,35.4033,34.95,-0.57
25.06.2024,35.2678,35.3373,35.4775,35.0981,-0.08
24.06.2024,35.295,35.0994,35.4021,34.9515,0.55
21.06.2024,35.1009,35.1112,35.3015,34.897,0.0
20.06.2024,35.1024,34.9473,35.3228,34.7743,0.53
19.06.2024,34.9173,34.9305,35.1455,34.7658,0.1
18.06.2024,34.8827,35.1962,35.3349,34.8786,-0.88
17.06.2024,35.1924,35.0241,35.3325,34.9397,0.81
14.06.2024,34.9112,34.693,35.1961,34.6609,0.75
13.06.2024,34.6513,34.9203,35.0472,34.6277,-0.75
12.06.2024,34.9135,34.7549,35.1323,34.6455,0.54
11.06.2024,34.7244,34.8507,34.9737,34.564,-0.33
10.06.2024,34.8405,34.8937,35.0793,34.5569,0.05
07.06.2024,34.8224,35.106,35.3435,34.7501,-0.77
06.06.2024,35.0941,35.0597,35.2923,34.8806,0.2
05.06.2024,35.0247,35.4503,35.5908,34.9281,-1.16
04.06.2024,35.4345,35.0944,35.5634,34.8989,1.04
03.06.2024,35.0693,34.9434,35.1456,34.763,0.36
31.05.2024,34.9429,34.8923,35.3058,34.7579,0.17
30.05.2024,34.8836,34.8424,35.078,34.6928,0.27
29.05.2024,34.791,35.0014,35.1335,34.722,-0.57
28.05.2024,34.9895,34.8935,35.158,34.6731,0.3
27.05.2024,34.8848,34.9784,35.1362,34.6768,-0.1
24.05.2024,34.9212,34.8115,35.0594,34.679,0.43
23.05.2024,34.773,34.8409,35.0158,34.6918,-0.02
22.05.2024,34.7804,34.9473,35.308,34.7277,-0.23
21.05.2024,34.8594,34.9743,35.0905,34.8016,-0.06
20.05.2024,34.88,34.9893,35.1746,34.8299,-0.34
17.05.2024,35.0,35.0747,35.1994,34.8251,-0.18
16.05.2024,35.0631,35.0079,35.1658,34.7982,0.19
15.05.2024,34.9965,34.9282,35.1375,34.8073,0.26
14.05.2024,34.9053,34.8226,35.0159,34.5372,0.25
13.05.2024,34.8172,34.7703,34.9644,34.536,0.41
10.05.2024,34.675,34.773,34.9115,34.5503,-0.23
09.05.2024,34.7558,34.66,34.9005,34.4009,0.41
08.05.2024,34.6136,34.7082,35.0,34.5186,-0.12
07.05.2024,34.6555,34.7488,34.8569,34.5626,-0.24
06.05.2024,34.7402,34.8007,35.0831,34.6117,-0.13
03.05.2024,34.7856,34.7231,35.0139,34.5827,0.31
02.05.2024,34.6791,34.794,34.8574,34.4598,-0.24
01.05.2024,34.7609,34.5623,34.8746,34.4596,0.6
30.04.2024,34.5521,34.8502,34.8935,34.4364,-0.56
29.04.2024,34.746,34.7641,34.9871,34.4878,0.33
26.04.2024,34.6312,34.8905,35.0938,34.5468,-0.73
25.04.2024,34.8856,34.8159,35.0026,34.6521,0.22
24.04.2024,34.8073,34.8494,34.9321,34.5939,0.13
23.04.2024,34.7627,34.6468,34.9072,34.5222,0.46
22.04.2024,34.6043,34.6295,34.868,34.4211,-0.04
19.04.2024,34.6192,34.6237,35.0078,34.4092,0.02
18.04.2024,34.6136,34.563,34.832,34.4844,0.17
17.04.2024,34.5544,34.4716,34.7357,34.3693,0.5
16.04.2024,34.3839,34.4508,34.6841,34.2941,-0.1
15.04.2024,34.4167,34.445,34.7402,34.2777,0.0
12.04.2024,34.4176,34.6532,35.422,34.3605,-0.64
11.04.2024,34.6381,34.7044,34.7842,34.4532,-0.08
10.04.2024,34.6665,35.1176,35.1815,34.6137,-1.04
09.04.2024,35.0297,34.7646,35.1488,34.6967,0.8
08.04.2024,34.7528,34.7113,34.9308,34.451,0.12
05.04.2024,34.7125,34.5821,34.8101,34.3377,0.52
04.04.2024,34.5315,34.6152,34.7436,34.4399,-0.24
03.04.2024,34.6162,34.4925,34.7109,34.2895,0.32
02.04.2024,34.5045,34.5404,34.8068,34.3028,0.13
01.04.2024,34.4582,34.9104,35.1303,33.9478,-1.28
29.03.2024,34.9046,34.9017,35.2175,34.6809,0.17
28.03.2024,34.8469,34.9558,35.0624,34.7299,-0.18
27.03.2024,34.9094,34.8605,35.0107,34.7076,0.19
26.03.2024,34.8441,34.8395,35.038,34.7319,0.13
25.03.2024,34.7994,34.5838,34.9827,34.3996,0.6
22.03.2024,34.5903,34.8334,35.1163,34.3114,-0.56
21.03.2024,34.7839,35.1211,35.5438,34.4409,-0.92
20.03.2024,35.1077,35.1563,35.4312,34.9371,-0.14
19.03.2024,35.1573,35.1326,35.3998,34.9422,0.29
18.03.2024,35.0546,34.986,35.4539,34.9259,0.26
15.03.2024,34.9629,34.9874,35.3075,34.825,-0.04
14.03.2024,34.976,35.0127,35.3396,34.7797,0.15
13.03.2024,34.9226,35.0327,35.6282,34.9221,-0.2
12.03.2024,34.9936,34.9817,35.2025,34.8458,0.26
11.03.2024,34.9029,34.8097,35.1486,34.7744,0.47
08.03.2024,34.738,34.8841,35.1558,34.6258,-0.39
07.03.2024,34.8751,34.617,34.949,34.5038,0.8
06.03.2024,34.5983,34.3459,34.7203,34.2697,0.79
05.03.2024,34.3277,34.2692,34.5158,34.1517,0.2
04.03.2024,34.2591,33.9928,34.4963,33.9397,0.97
01.03.2024,33.9305,33.7393,34.0958,33.6712,0.71
29.02.2024,33.6927,33.817,33.9836,33.6447,-0.24
28.02.2024,33.7753,33.7775,34.0589,33.5674,0.24
27.02.2024,33.6961,33.7599,34.0534,33.64,0.05
26.02.2024,33.6786,33.6081,33.9412,33.5317,0.54
23.02.2024,33.498,33.505,33.7827,33.2496,0.23
